category,W_m,C,K
C,0.03836564030752904,9.873722461756026,0.8455054740440283
D,0.04929996987152889,1.784196832781431,0.9353612362460312
P,0.05630769534069378,0.5418357705841443,0.9893396771698664
S,0.03672089436832448,2.4511751386077245,1.0017538435920197
