category,e_a,k_0,ip_days_25c
C,77.20837436766732,6418683413.726831,218.48288727388476
D,88.90148994196913,280218753328.2338,559.7903297724827
F,111.91942556194161,919432575194711.8,1839.9030500089182
O,103.127364010227,78047051714550.12,624.5541142852883
S,81.55535862428374,24394856348.823223,332.021483474063
W,88.82848881192227,325136018562.7528,468.4546442349413
